source,context,tier,ground_truth,prediction,score,correct,matcher,code
CountryofBirth,Patient,entity,Observation,Observation,1.0,True,rule,
MedicallyUnderservedArea,Patient,entity,Observation,Observation,1.0,True,rule,
RuralvsUrban,Patient,entity,Observation,Observation,1.0,True,rule,
CancerIncidence,Patient,entity,Observation,Observation,1.0,True,rule,
CancerIncidenceLocation,Patient,entity,Observation,Observation,1.0,True,rule,
Ethnicity,Patient,entity,Patient,Patient,1.0,True,rule,
Gender,Patient,entity,Patient,Patient,1.0,True,rule,
Race,Patient,entity,Patient,Patient,1.0,True,rule,
VitalStatus,Patient,entity,Patient,Patient,1.0,True,rule,
AgeatDiagnosis,Patient,entity,Condition,Condition.onsetAge,1.0,False,rule,
DaystoLastFollowup,Patient,entity,Observation,Observation,1.0,True,rule,
DaystoLastKnownDiseaseStatus,Patient,entity,Observation,Observation,1.0,True,rule,
DaystoRecurrence,Patient,entity,Observation,Observation,1.0,True,rule,
LastKnownDiseaseStatus,Patient,entity,Observation,Observation,1.0,True,rule,
Morphology,Patient,entity,Observation,Observation,1.0,True,rule,
PrimaryDiagnosis,Patient,entity,Condition,Condition,1.0,True,rule,
ProgressionorRecurrence,Patient,entity,Condition,Condition.clinicalStatus,1.0,False,rule,
SiteofResectionorBiopsy,Specimen,entity,Specimen,Specimen.bodySite,1.0,False,rule,
TissueorOrganofOrigin,Patient,entity,Condition,Condition.bodySite,1.0,False,rule,
NCIAtlasCancerSite,,entity,Condition,Condition.bodySite,1.0,False,rule,
TumorGrade,Patient,entity,Condition,Condition,1.0,True,rule,
PackYearsSmoked,Patient,entity,Observation,Observation,1.0,True,rule,
YearsSmoked,Patient,entity,Observation,Observation,1.0,True,rule,
DaystoFollowUp,Patient,entity,Observation,Observation,1.0,True,rule,
GeneSymbol,Patient,entity,Observation,Observation,1.0,True,rule,
MolecularAnalysisMethod,Patient,entity,Observation,Observation,1.0,True,rule,
TestResult,Patient,entity,Observation,Observation,1.0,True,rule,
TreatmentType,MedicationAdministration,entity,MedicationAdministration,MedicationAdministration,1.0,True,rule,
TumorLargestDimensionDiameter,,entity,Observation,Observation,1.0,True,rule,
LungCancerTier3,,entity,Identifier,Identifier.value,1.0,False,rule,
LungCancerDetectionMethodType,Patient,entity,Condition,Condition.category,1.0,False,rule,
BreastCancerTier3,Patient,entity,Identifier,Identifier.value,1.0,False,rule,
ProstateCancerTier3,,entity,Identifier,Identifier.value,1.0,False,rule,
PancreasPrecancerHistopathologicGrade,Patient,entity,Condition,Condition,1.0,True,rule,
PancreaticIPMNPathologyEpithelialSubtype,Patient,entity,Observation,Observation,1.0,True,rule,
PancreaticDuctFinalPathologyType,Patient,entity,Observation,Observation,1.0,True,rule,
DaystoBirth,Patient,entity,Observation,Observation,1.0,True,rule,
CountryofResidence,Patient,entity,Observation,Observation,1.0,True,rule,
AgeIsObfuscated,Patient,entity,Observation,Observation,1.0,True,rule,
YearOfBirth,Patient,entity,Observation,Observation,1.0,True,rule,
OccupationDurationYears,Patient,entity,Observation,Observation,1.0,True,rule,
PrematureAtBirth,Patient,entity,Observation,Observation,1.0,True,rule,
WeeksGestationatBirth,Patient,entity,Observation,Observation,1.0,True,rule,
RelativewithCancerHistory,Patient,entity,Observation,Observation,1.0,True,rule,
SmokingExposure,Patient,entity,Observation,Observation,1.0,True,rule,
AlcoholExposure,Patient,entity,Observation,Observation,1.0,True,rule,
AsbestosExposure,Patient,entity,Observation,Observation,1.0,True,rule,
CoalDustExposure,Patient,entity,Observation,Observation,1.0,True,rule,
EnvironmentalTobaccoSmokeExposure,Patient,entity,Observation,Observation,1.0,True,rule,
RadonExposure,Patient,entity,Observation,Observation,1.0,True,rule,
RespirableCrystallineSilicaExposure,Patient,entity,Observation,Observation,1.0,True,rule,
AdverseEvent,Patient,entity,Observation,Observation,1.0,True,rule,
BarrettsEsophagusGobletCellsPresent,Patient,entity,Observation,Observation,1.0,True,rule,
BMI,Patient,entity,Observation,Observation,1.0,True,rule,
CauseofResponse,Patient,entity,Observation,Observation,1.0,True,rule,
Comorbidity,Patient,entity,Observation,Observation,1.0,True,rule,
ComorbidityMethodofDiagnosis,Patient,entity,Observation,Observation,1.0,True,rule,
DaystoAdverseEvent,Patient,entity,Observation,Observation,1.0,True,rule,
DaystoComorbidity,Patient,entity,Observation,Observation,1.0,True,rule,
DiseaseResponse,Patient,entity,Observation,Observation,1.0,True,rule,
DLCORefPredictivePercent,Patient,entity,Observation,Observation,1.0,True,rule,
ECOGPerformanceStatus,Patient,entity,Observation,Observation,1.0,True,rule,
FEV1FVCPostBronchPercent,Patient,entity,Observation,Observation,1.0,True,rule,
FEV1FVCPreBronchPercent,Patient,entity,Observation,Observation,1.0,True,rule,
FEV1RefPostBronchPercent,Patient,entity,Observation,Observation,1.0,True,rule,
FEV1RefPreBronchPercent,Patient,entity,Observation,Observation,1.0,True,rule,
Height,Patient,entity,Observation,Observation,1.0,True,rule,
HepatitisSustainedVirologicalResponse,Patient,entity,Observation,Observation,1.0,True,rule,
HPVPositiveType,Patient,entity,Observation,Observation,1.0,True,rule,
KarnofskyPerformanceStatus,Patient,entity,Observation,Observation,1.0,True,rule,
MenopauseStatus,Patient,entity,Observation,Observation,1.0,True,rule,
PancreatitisOnsetYear,Patient,entity,Observation,Observation,1.0,True,rule,
RefluxTreatmentType,Patient,entity,Observation,Observation,1.0,True,rule,
RiskFactor,Patient,entity,Observation,Observation,1.0,True,rule,
RiskFactorTreatment,Patient,entity,Observation,Observation,1.0,True,rule,
ViralHepatitisSerologies,Patient,entity,Observation,Observation,1.0,True,rule,
Weight,Patient,entity,Observation,Observation,1.0,True,rule,
AdverseEventGrade,Patient,entity,Observation,Observation,1.0,True,rule,
AIDSRiskFactors,,entity,Observation,Observation,1.0,True,rule,
BodySurfaceArea,Patient,entity,Observation,Observation,1.0,True,rule,
CDCHIVRiskFactors,Patient,entity,Observation,Observation,1.0,True,rule,
DaystoImaging,Patient,entity,Observation,Observation,1.0,True,rule,
HAARTTreatmentIndicator,Patient,entity,Observation,Observation,1.0,True,rule,
HIVViralLoad,Patient,entity,Observation,Observation,1.0,True,rule,
HormonalContraceptiveUse,Patient,entity,Observation,Observation,1.0,True,rule,
HysterectomyMarginsInvolved,Patient,entity,Observation,Observation,1.0,True,rule,
HysterectomyType,Patient,entity,Observation,Observation,1.0,True,rule,
ImagingResult,Patient,entity,Observation,Observation,1.0,True,rule,
ImagingType,Patient,entity,Observation,Observation,1.0,True,rule,
ImmunosuppressiveTreatmentType,Patient,entity,Observation,Observation,1.0,True,rule,
NadirCD4Count,Patient,entity,Observation,Observation,1.0,True,rule,
PregnancyOutcome,Patient,entity,Observation,Observation,1.0,True,rule,
RecistTargetedRegionsNumber,Patient,entity,Observation,Observation,1.0,True,rule,
RecistTargetedRegionsSum,Patient,entity,Observation,Observation,1.0,True,rule,
ScanTracerUsed,Patient,entity,Observation,Observation,1.0,True,rule,
TreatmentorTherapy,Patient,entity,Observation,Observation,1.0,True,rule,
TreatmentEffect,MedicationAdministration,entity,Observation,Observation,1.0,True,rule,
TreatmentOutcome,,entity,Observation,Observation,1.0,True,rule,
DaystoTreatmentEnd,Patient,entity,MedicationAdministration,MedicationAdministration,1.0,True,rule,
TreatmentAnatomicSite,Patient,entity,MedicationAdministration,MedicationAdministration,1.0,True,rule,
DaystoTreatmentStart,Patient,entity,MedicationAdministration,MedicationAdministration,1.0,True,rule,
InitialDiseaseStatus,Patient,entity,Condition,Condition.category,1.0,False,rule,
RegimenorLineofTherapy,Patient,entity,Observation,Observation,1.0,True,rule,
TherapeuticAgents,Patient,entity,Medication,Medication.code,1.0,False,rule,
TreatmentIntentType,Patient,entity,Observation,Observation,1.0,True,rule,
ChemoConcurrenttoRadiation,Patient,entity,Observation,Observation,1.0,True,rule,
NumberofCycles,Patient,entity,Observation,Observation,1.0,True,rule,
ReasonTreatmentEnded,Patient,entity,MedicationAdministration,MedicationAdministration.statusReason,1.0,False,rule,
TreatmentDose,Patient,entity,MedicationAdministration,MedicationAdministration,1.0,True,rule,
TreatmentDoseUnits,Patient,entity,MedicationAdministration,MedicationAdministration,1.0,True,rule,
TreatmentEffectIndicator,Patient,entity,Observation,Observation,1.0,True,rule,
TreatmentFrequency,MedicationAdministration,entity,Observation,Observation,1.0,True,rule,
YearofDiagnosis,Patient,entity,Observation,Observation,1.0,True,rule,
PrecancerousConditionType,,entity,Condition,Condition.code,1.0,False,rule,
MethodofDiagnosis,,entity,Observation,Observation,1.0,True,rule,
PriorMalignancy,,entity,Observation,Observation,1.0,True,rule,
PriorTreatment,,entity,Observation,Observation,1.0,True,rule,
MetastasisatDiagnosis,,entity,Observation,Observation,1.0,True,rule,
MetastasisatDiagnosisSite,,entity,Condition,Condition.bodySite,1.0,False,rule,
FirstSymptomPriortoDiagnosis,,entity,Observation,Observation,1.0,True,rule,
AAChange,Patient,entity,Observation,Observation,1.0,True,rule,
Antigen,Patient,entity,Observation,Observation,1.0,True,rule,
ClinicalBiospecimenType,Specimen,entity,Observation,Observation,1.0,True,rule,
BloodTestNormalRangeUpper,Patient,entity,Observation,Observation,1.0,True,rule,
BloodTestNormalRangeLower,Patient,entity,Observation,Observation,1.0,True,rule,
CellCount,Patient,entity,Observation,Observation,1.0,True,rule,
Clonality,Specimen,entity,Observation,Observation,1.0,True,rule,
CopyNumber,Patient,entity,Observation,Observation,1.0,True,rule,
Cytoband,Patient,entity,Observation,Observation,1.0,True,rule,
HistoneFamily,Patient,entity,Observation,Observation,1.0,True,rule,
HistoneVariant,Patient,entity,Observation,Observation,1.0,True,rule,
Intron,Specimen,entity,Observation,Observation,1.0,True,rule,
LaboratoryTest,Patient,entity,Observation,Observation,1.0,True,rule,
LociAbnormalCount,Patient,entity,Observation,Observation,1.0,True,rule,
LociCount,Patient,entity,Observation,Observation,1.0,True,rule,
Locus,Patient,entity,Observation,Observation,1.0,True,rule,
MismatchRepairMutation,Patient,entity,Observation,Observation,1.0,True,rule,
MolecularConsequence,Patient,entity,Observation,Observation,1.0,True,rule,
Pathogenicity,Patient,entity,Observation,Observation,1.0,True,rule,
Ploidy,Patient,entity,Observation,Observation,1.0,True,rule,
SecondExon,Patient,entity,Observation,Observation,1.0,True,rule,
SecondGeneSymbol,Patient,entity,Observation,Observation,1.0,True,rule,
SpecializedMolecularTest,Patient,entity,Observation,Observation,1.0,True,rule,
TestAnalyteType,Patient,entity,Specimen,Specimen.valueString,1.0,False,rule,
TestUnits,Patient,entity,Observation,Observation,1.0,True,rule,
TestValue,Patient,entity,Observation,Observation,1.0,True,rule,
Transcript,Patient,entity,Observation,Observation,1.0,True,rule,
VariantOrigin,Patient,entity,Observation,Observation,1.0,True,rule,
VariantType,Patient,entity,Observation,Observation,1.0,True,rule,
Zygosity,Patient,entity,Observation,Observation,1.0,True,rule,
CollectionDaysfromIndex,Specimen,entity,Identifier,Identifier.value,1.0,False,rule,
AdjacentBiospecimenIDs,Specimen,entity,Identifier,Identifier.value,1.0,False,rule,
BiospecimenType,Specimen,entity,Specimen,Specimen.type,1.0,False,rule,
AcquisitionMethodType,Specimen,entity,Specimen,Specimen,1.0,True,rule,
FixativeType,Specimen,entity,Observation,Observation,1.0,True,rule,
StorageMethod,Specimen,entity,Observation,Observation,1.0,True,rule,
ProcessingDaysfromIndex,Specimen,entity,Observation,Observation,1.0,True,rule,
ProtocolLink,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SiteDataSource,Specimen,entity,Observation,Observation,1.0,True,rule,
CollectionMedia,Specimen,entity,Observation,Observation,1.0,True,rule,
MountingMedium,Specimen,entity,Observation,Observation,1.0,True,rule,
ProcessingLocation,Specimen,entity,Observation,Observation,1.0,True,rule,
HistologyAssessmentBy,Specimen,entity,Observation,Observation,1.0,True,rule,
HistologyAssessmentMedium,Specimen,entity,Observation,Observation,1.0,True,rule,
PreinvasiveMorphology,Specimen,entity,Observation,Observation,1.0,True,rule,
TumorInfiltratingLymphocytes,Specimen,entity,Observation,Observation,1.0,True,rule,
DegreeofDysplasia,Specimen,entity,Observation,Observation,1.0,True,rule,
DysplasiaFraction,Specimen,entity,Observation,Observation,1.0,True,rule,
NumberProliferatingCells,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentEosinophilInfiltration,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentGranulocyteInfiltration,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentInflamInfiltration,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentLymphocyteInfiltration,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentMonocyteInfiltration,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentNecrosis,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentNeutrophilInfiltration,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentNormalCells,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentStromalCells,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentTumorCells,Specimen,entity,Observation,Observation,1.0,True,rule,
PercentTumorNuclei,Specimen,entity,Observation,Observation,1.0,True,rule,
FiducialMarker,Specimen,entity,Observation,Observation,1.0,True,rule,
SlicingMethod,Specimen,entity,Observation,Observation,1.0,True,rule,
LysisBuffer,Specimen,entity,Observation,Observation,1.0,True,rule,
MethodofNucleicAcidIsolation,Specimen,entity,Observation,Observation,1.0,True,rule,
IschemicTime,Specimen,entity,Observation,Observation,1.0,True,rule,
IschemicTemperature,Specimen,entity,Observation,Observation,1.0,True,rule,
HistologicMorphologyCode,Specimen,entity,Observation,Observation,1.0,True,rule,
PreservationMethod,Specimen,entity,Specimen,Specimen,1.0,True,rule,
NucleicAcidSource,DocumentReference,entity,Observation,Observation,1.0,True,rule,
CryopreservedCellsinSample,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SingleCellIsolationMethod,DocumentReference,entity,Observation,Observation,1.0,True,rule,
DissociationMethod,DocumentReference,entity,Observation,Observation,1.0,True,rule,
LibraryConstructionMethod,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ReadIndicator,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Read1,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Read2,DocumentReference,entity,Observation,Observation,1.0,True,rule,
EndBias,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ReverseTranscriptionPrimer,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SpikeIn,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SequencingPlatform,DocumentReference,entity,Device,Device,1.0,True,rule,
TotalNumberofInputCells,DocumentReference,entity,Observation,Observation,1.0,True,rule,
InputCellsandNuclei,DocumentReference,entity,Observation,Observation,1.0,True,rule,
LibraryPreparationDaysfromIndex,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SingleCellDissociationDaysfromIndex,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SequencingLibraryConstructionDaysfromIndex,DocumentReference,entity,Observation,Observation,1.0,True,rule,
NucleicAcidCaptureDaysfromIndex,DocumentReference,entity,Observation,Observation,1.0,True,rule,
TechnicalReplicateGroup,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ScRNAseqWorkflowType,DocumentReference,entity,Observation,Observation,1.0,True,rule,
WorkflowVersion,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ScRNAseqWorkflowParametersDescription,DocumentReference,entity,Observation,Observation,1.0,True,rule,
WorkflowLink,DocumentReference,entity,Observation,Observation,1.0,True,rule,
GenomicReference,DocumentReference,entity,Observation,Observation,1.0,True,rule,
GenomicReferenceURL,DocumentReference,entity,Observation,Observation,1.0,True,rule,
GenomeAnnotationURL,DocumentReference,entity,Observation,Observation,1.0,True,rule,
WhitelistCellBarcodeFileLink,DocumentReference,entity,Observation,Observation,1.0,True,rule,
CellBarcodeTag,DocumentReference,entity,Observation,Observation,1.0,True,rule,
UMITag,DocumentReference,entity,Observation,Observation,1.0,True,rule,
AppliedHardTrimming,DocumentReference,entity,Observation,Observation,1.0,True,rule,
DataCategory,DocumentReference,entity,DocumentReference,DocumentReference,1.0,True,rule,
MatrixType,DocumentReference,entity,Observation,Observation,1.0,True,rule,
LinkedMatrices,DocumentReference,entity,Observation,Observation,1.0,True,rule,
CellMedianNumberReads,DocumentReference,entity,Observation,Observation,1.0,True,rule,
CellMedianNumberGenes,DocumentReference,entity,Observation,Observation,1.0,True,rule,
CellTotal,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Slide-seqLevel3,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SequencingBatchID,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Slide-seqBeadFileType,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Slide-seqFragmentSize,DocumentReference,entity,Observation,Observation,1.0,True,rule,
BulkRNA-seqLevel1,DocumentReference,entity,DocumentReference,DocumentReference.category,1.0,False,rule,
LibraryLayout,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Micro-regionSeqPlatform,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ROITag,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ReadLength,DocumentReference,entity,Observation,Observation,1.0,True,rule,
LibrarySelectionMethod,DocumentReference,entity,Observation,Observation,1.0,True,rule,
LibraryPreparationKitName,DocumentReference,entity,Observation,Observation,1.0,True,rule,
LibraryPreparationKitVendor,DocumentReference,entity,Observation,Observation,1.0,True,rule,
LibraryPreparationKitVersion,DocumentReference,entity,Observation,Observation,1.0,True,rule,
AdapterName,DocumentReference,entity,Observation,Observation,1.0,True,rule,
AdapterSequence,DocumentReference,entity,Observation,Observation,1.0,True,rule,
BaseCallerName,DocumentReference,entity,Observation,Observation,1.0,True,rule,
BaseCallerVersion,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FlowCellBarcode,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FragmentMaximumLength,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FragmentMeanLength,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FragmentMinimumLength,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FragmentStandardDeviationLength,DocumentReference,entity,Observation,Observation,1.0,True,rule,
LaneNumber,DocumentReference,entity,Observation,Observation,1.0,True,rule,
LibraryStrand,DocumentReference,entity,Observation,Observation,1.0,True,rule,
MultiplexBarcode,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SizeSelectionRange,DocumentReference,entity,Observation,Observation,1.0,True,rule,
TargetDepth,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ToTrimAdapterSequence,DocumentReference,entity,Observation,Observation,1.0,True,rule,
TranscriptIntegrityNumber,DocumentReference,entity,Observation,Observation,1.0,True,rule,
RIN,DocumentReference,entity,Observation,Observation,1.0,True,rule,
AdapterContent,DocumentReference,entity,Observation,Observation,1.0,True,rule,
BasicStatistics,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Encoding,DocumentReference,entity,Observation,Observation,1.0,True,rule,
OverrepresentedSequences,DocumentReference,entity,Observation,Observation,1.0,True,rule,
PerBaseNContent,DocumentReference,entity,Observation,Observation,1.0,True,rule,
PerBaseSequenceContent,DocumentReference,entity,Observation,Observation,1.0,True,rule,
PerBaseSequenceQuality,DocumentReference,entity,Observation,Observation,1.0,True,rule,
PerSequenceGCContent,DocumentReference,entity,Observation,Observation,1.0,True,rule,
PerSequenceQualityScore,DocumentReference,entity,Observation,Observation,1.0,True,rule,
PerTileSequenceQuality,DocumentReference,entity,Observation,Observation,1.0,True,rule,
PercentGCContent,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SequenceDuplicationLevels,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SequenceLengthDistribution,DocumentReference,entity,Observation,Observation,1.0,True,rule,
TotalReads,DocumentReference,entity,Observation,Observation,1.0,True,rule,
QCWorkflowType,DocumentReference,entity,Observation,Observation,1.0,True,rule,
QCWorkflowVersion,DocumentReference,entity,Observation,Observation,1.0,True,rule,
QCWorkflowLink,DocumentReference,entity,Observation,Observation,1.0,True,rule,
AlignmentWorkflowType,DocumentReference,entity,Observation,Observation,1.0,True,rule,
IndexFileName,DocumentReference,entity,Observation,Observation,1.0,True,rule,
AverageBaseQuality,DocumentReference,entity,Observation,Observation,1.0,True,rule,
AverageInsertSize,DocumentReference,entity,Observation,Observation,1.0,True,rule,
AverageReadLength,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Contamination,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ContaminationError,DocumentReference,entity,Observation,Observation,1.0,True,rule,
MeanCoverage,DocumentReference,entity,Observation,Observation,1.0,True,rule,
MSIWorkflowLink,DocumentReference,entity,Observation,Observation,1.0,True,rule,
MSIScore,DocumentReference,entity,Observation,Observation,1.0,True,rule,
MSIStatus,DocumentReference,entity,Observation,Observation,1.0,True,rule,
PairsOnDiffCHR,DocumentReference,entity,Observation,Observation,1.0,True,rule,
TotalUniquelyMapped,DocumentReference,entity,Observation,Observation,1.0,True,rule,
TotalUnmappedreads,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ProportionReadsDuplicated,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ProportionReadsMapped,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ProportionTargetsNoCoverage,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ProportionBaseMismatch,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ShortReads,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Islowestlevel,DocumentReference,entity,Observation,Observation,1.0,True,rule,
TargetCaptureKit,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ProportionCoverage10x,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ProportionCoverage30X,DocumentReference,entity,Observation,Observation,1.0,True,rule,
GermlineVariantsWorkflowURL,DocumentReference,entity,Observation,Observation,1.0,True,rule,
GermlineVariantsWorkflowType,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SomaticVariantsWorkflowURL,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SomaticVariantsWorkflowType,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SomaticVariantsSampleType,DocumentReference,entity,Observation,Observation,1.0,True,rule,
StructuralVariantWorkflowURL,DocumentReference,entity,Observation,Observation,1.0,True,rule,
StructuralVariantWorkflowType,DocumentReference,entity,Observation,Observation,1.0,True,rule,
SpikeInConcentration,DocumentReference,entity,Observation,Observation,1.0,True,rule,
EmptyWellBarcode,DocumentReference,entity,Observation,Observation,1.0,True,rule,
WellIndex,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FeatureReferenceId,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ImagingAssayType,DocumentReference,entity,ServiceRequest,ServiceRequest.code,1.0,False,rule,
SoftwareandVersion,DocumentReference,entity,Observation,Observation,1.0,True,rule,
CommitSHA,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Comment,,entity,Observation,Observation,1.0,True,rule,
ChannelMetadataFilename,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Microscope,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Objective,DocumentReference,entity,Observation,Observation,1.0,True,rule,
NominalMagnification,DocumentReference,entity,Observation,Observation,1.0,True,rule,
LensNA,DocumentReference,entity,Observation,Observation,1.0,True,rule,
WorkingDistance,DocumentReference,entity,Observation,Observation,1.0,True,rule,
WorkingDistanceUnit,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Immersion,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Pyramid,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Zstack,DocumentReference,entity,Observation,Observation,1.0,True,rule,
Tseries,DocumentReference,entity,Observation,Observation,1.0,True,rule,
PassedQC,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FOVnumber,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FOVX,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FOVXUnit,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FOVY,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FOVYUnit,DocumentReference,entity,Observation,Observation,1.0,True,rule,
FrameAveraging,DocumentReference,entity,Observation,Observation,1.0,True,rule,
ImageID,DocumentReference,entity,Observation,Observation,1.0,True,rule,
DimensionOrder,DocumentReference,entity,Observation,Observation,1.0,True,rule,
